A test suite for benchmarking various Go serialization methods.

See README.md for details on running the benchmarks.

goos: linux
goarch: amd64
pkg: github.com/alecthomas/go_serialization_benchmarks
cpu: 11th Gen Intel(R) Core(TM) i5-11300H @ 3.10GHz
Benchmark_Bebop_200sc_Unmarshal-8                                 	14900529	        76.38 ns/op	        55.00 B/serial	      32 B/op	       2 allocs/op
Benchmark_Bebop_Wellquite_Marshal-8                               	14748912	        85.79 ns/op	        55.00 B/serial	      64 B/op	       1 allocs/op
Benchmark_Bebop_Wellquite_Unmarshal-8                             	15139518	        82.99 ns/op	        55.00 B/serial	      32 B/op	       2 allocs/op
Benchmark_FastJson_Marshal-8                                      	 2375751	       532.7 ns/op	       133.8 B/serial	     504 B/op	       6 allocs/op
Benchmark_FastJson_Unmarshal-8                                    	  781520	      1994 ns/op	       133.8 B/serial	    1704 B/op	       9 allocs/op
Benchmark_BENC_Marshal-8                                          	16171626	        80.70 ns/op	        51.00 B/serial	      64 B/op	       1 allocs/op
Benchmark_BENC_Unmarshal-8                                        	15027098	        90.84 ns/op	        51.00 B/serial	      32 B/op	       2 allocs/op
Benchmark_BENC_UnsafeStringConvertion_Marshal-8                   	17900857	        68.21 ns/op	        51.00 B/serial	      64 B/op	       1 allocs/op
Benchmark_BENC_UnsafeStringConvertion_Unmarshal-8                 	40609983	        29.27 ns/op	        51.00 B/serial	       0 B/op	       0 allocs/op
Benchmark_BENC_UnsafeStringConvertion_PreAllocation_Marshal-8     	35734764	        34.09 ns/op	        51.00 B/serial	       0 B/op	       0 allocs/op
Benchmark_BENC_UnsafeStringConvertion_PreAllocation_Unmarshal-8   	42486434	        30.43 ns/op	        51.00 B/serial	       0 B/op	       0 allocs/op
Benchmark_MUS_Marshal-8                                           	12888994	        92.97 ns/op	        46.00 B/serial	      48 B/op	       1 allocs/op
Benchmark_MUS_Unmarshal-8                                         	10089038	       122.6 ns/op	        46.00 B/serial	      32 B/op	       2 allocs/op
Benchmark_MUSUnsafe_Marshal-8                                     	13599637	        87.35 ns/op	        49.00 B/serial	      64 B/op	       1 allocs/op
Benchmark_MUSUnsafe_Unmarshal-8                                   	30552170	        45.43 ns/op	        49.00 B/serial	       0 B/op	       0 allocs/op
PASS
ok  	github.com/alecthomas/go_serialization_benchmarks	140.425s
